hero	slot	ability	type	cooldown	charges
hero_astro	Signature_1	ability_explosive_barrel	Signature	28	2
hero_astro	Signature_2	ability_bounce_pad	Signature	41	1
hero_astro	Signature_3	ability_crackshot	Signature	20	0
hero_astro	Signature_4	ability_gravity_lasso	Ultimate	115	0
hero_atlas	Signature_1	citadel_ability_bull_heal	Signature	42	0
hero_atlas	Signature_2	citadel_ability_bull_charge	Signature	33	0
hero_atlas	Signature_3	citadel_ability_passive_beefy	Signature	0	0
hero_atlas	Signature_4	citadel_ability_bull_leap	Ultimate	185	0
hero_bebop	Signature_1	citadel_ability_uppercut	Signature	22	0
hero_bebop	Signature_2	citadel_ability_sticky_bomb	Signature	18	0
hero_bebop	Signature_3	citadel_ability_hook	Signature	23	0
hero_bebop	Signature_4	citadel_ability_bebop_laser_beam	Ultimate	105	0
hero_bookworm	Signature_1	ability_bookworm_dragonfire	Signature	33	1
hero_bookworm	Signature_2	ability_bookworm_knightbarrier	Signature	28	0
hero_bookworm	Signature_3	ability_bookworm_aoemagic	Signature	30	0
hero_bookworm	Signature_4	ability_bookworm_knightcharge	Ultimate	190	0
hero_chrono	Signature_1	citadel_ability_chrono_pulse_grenade	Signature	32	0
hero_chrono	Signature_2	citadel_ability_chrono_time_wall	Signature	25	0
hero_chrono	Signature_3	citadel_ability_chrono_kinetic_carbine	Signature	28	0
hero_chrono	Signature_4	citadel_ability_chrono_swap	Ultimate	95	0
hero_doorman	Signature_1	ability_doorman_bomb	Signature	18	1
hero_doorman	Signature_2	ability_doorman_doorway	Signature	40	0
hero_doorman	Signature_3	ability_doorman_luggage_cart	Signature	30	0
hero_doorman	Signature_4	ability_doorman_hotel	Ultimate	120	0
hero_drifter	Signature_1	drifter_blood_blast	Signature	16	0
hero_drifter	Signature_2	drifter_shadow_mark	Signature	20	0
hero_drifter	Signature_3	ability_drifter_hunger	Signature	0	0
hero_drifter	Signature_4	drifter_darkness	Ultimate	125.0	0
hero_dynamo	Signature_1	citadel_ability_stomp	Signature	26	1
hero_dynamo	Signature_2	citadel_ability_void_sphere	Signature	20	0
hero_dynamo	Signature_3	citadel_ability_nikuman	Signature	48	0
hero_dynamo	Signature_4	citadel_ability_self_vacuum	Ultimate	230	0
hero_familiar	Signature_1	ability_familiar_ability02	Signature	25	1
hero_familiar	Signature_2	ability_familiar_attach	Signature	40	0
hero_familiar	Signature_3	ability_familiar_helpinghands	Signature	0	0
hero_familiar	Signature_4	ability_familiar_ability01	Ultimate	175	0
hero_fencer	Signature_1	ability_fencer_throwblade	Signature	12	0
hero_fencer	Signature_2	ability_fencer_riposte	Signature	22	0
hero_fencer	Signature_3	ability_fencer_lunge	Signature	26	0
hero_fencer	Signature_4	ability_fencer_ultimate	Ultimate	125	0
hero_forge	Signature_1	citadel_ability_shieldedsentry	Signature	18	1
hero_forge	Signature_2	citadel_ability_mobile_resupply	Signature	50	0
hero_forge	Signature_3	citadel_ability_fissure_wall	Signature	50	0
hero_forge	Signature_4	citadel_ability_rocket_barrage	Ultimate	175	0
hero_frank	Signature_1	ability_frank_shocktarget2	Signature	2	0
hero_frank	Signature_2	ability_frank_selfzap	Signature	30	1
