ability	tier	property	bonus
ability_afterburn	1	DPS	16
ability_afterburn	2	OutgoingTechDamagePercent	-35
ability_afterburn	3	BurnDuration	3
ability_blood_bomb	1	AbilityCooldown	-5
ability_blood_bomb	2	Damage	50
ability_blood_bomb	2	Radius	2m
ability_blood_bomb	3	BloodSpillDPSPercent	26
ability_blood_bomb	3	BloodSpillDuration	6
ability_blood_shards	1	AbilityCooldown	-3
ability_blood_shards	2	HealthToDamage	25.199999
ability_blood_shards	2	NumBloodShards	4
ability_blood_shards	2	SpreadAngleDegrees	22
ability_blood_shards	3	VulnerabilityPerStack	7
ability_bookworm_aoemagic	1	AbilityCooldown	-11
ability_bookworm_aoemagic	2	ImmobilizeDuration	1
ability_bookworm_aoemagic	3	DebuffDuration	6
ability_bookworm_aoemagic	3	Radius	1m
ability_bookworm_aoemagic	3	TechArmorDamageReduction	-18
ability_bookworm_dragonfire	1	GroundFlameDuration	2
ability_bookworm_dragonfire	1	Radius	1m
ability_bookworm_dragonfire	2	AbilityCooldown	-12
ability_bookworm_dragonfire	2	DragonTravelRange	10m
ability_bookworm_dragonfire	3	AbilityCharges	1
ability_bookworm_dragonfire	3	DPS	30
ability_bookworm_dragonfire	3	Damage	100
ability_bookworm_knightbarrier	1	BonusFireRate	14
ability_bookworm_knightbarrier	1	BonusFireRate	0.13
ability_bookworm_knightbarrier	2	AbilityDuration	2
ability_bookworm_knightbarrier	2	CombatBarrier	100
ability_bookworm_knightbarrier	3	BonusTargets	2
ability_bookworm_knightbarrier	3	BonusTargetsBarrierPercentage	75
ability_bookworm_knightbarrier	3	CombatBarrier	0.5
ability_bookworm_knightcharge	1	HealAmount	150
ability_bookworm_knightcharge	2	AbilityCooldown	-50
ability_bookworm_knightcharge	2	KnightCount	4
ability_bookworm_knightcharge	2	KnightCountInFirstWave	4
ability_bookworm_knightcharge	3	Damage	160
ability_bookworm_knightcharge	3	MaxAmp	50
ability_bookworm_knightcharge	3	StunDuration	0.5
ability_bounce_pad	1	AbilityCooldown	-10
ability_bounce_pad	2	SpeedOnLand	4m
ability_bounce_pad	2	SpeedOnLandDuration	4
ability_bounce_pad	3	StompStunDuration	0.7
ability_bullet_flurry	1	WeaponDamageBonus	7
ability_bullet_flurry	2	BonusFireRate	10
ability_bullet_flurry	2	ChannelMoveSpeed	3m
ability_bullet_flurry	3	AbilityCooldown	-75
ability_bullet_flurry	3	EvasionPercent	40
ability_burrow	1	DPS	50
ability_burrow	2	AbilityChannelTime	4
ability_burrow	2	Radius	2m
ability_burrow	3	AbilityCooldown	-20
ability_burrow	3	BonusMoveSpeed	4m
ability_charged_shot	1	AbilityCharges	1
ability_charged_shot	2	Damage	54
ability_charged_shot	3	AbilityCooldownBetweenCharge	-3
ability_charged_shot	3	Damage	1
ability_crackshot	1	FadingSlowPercent	25
ability_crackshot	2	Damage	49.5
ability_crackshot	3	AbilityCooldownPerHeadshot	-6
ability_crackshot	3	AbilityCooldownPerHeadshotNPC	-3
ability_doorman_bomb	1	AbilityCharges	1
ability_doorman_bomb	2	ExplosionDamage	40
ability_doorman_bomb	2	ImpactDamage	30
ability_doorman_bomb	3	ExplosionDamage	0.35
ability_doorman_bomb	3	ImpactDamage	0.35
ability_doorman_bomb	3	ProjectileFuse	26
ability_doorman_bomb	3	Radius	4.5m
ability_doorman_doorway	1	AbilityDuration	15
ability_doorman_doorway	2	BarrierDuration	12
ability_doorman_doorway	2	CombatBarrier	250
ability_doorman_doorway	2	CombatBarrier	1.5
ability_doorman_doorway	3	AbilityCastRange	30m
ability_doorman_doorway	3	DoorwayDistance	45m
ability_doorman_doorway	3	DoorwayDistance	0.15
ability_doorman_hotel	1	AbilityCooldown	-25
ability_doorman_hotel	1	StaminaDrain	1
ability_doorman_hotel	2	Damage	150
ability_doorman_hotel	2	LateCheckoutDamage	150
ability_doorman_hotel	2	LateCheckoutStun	1.5
ability_doorman_hotel	3	LateCheckoutCooldown	13
ability_doorman_hotel	3	UnstoppableWhileHotelOccupied	1
ability_doorman_luggage_cart	1	CartDamage	60
ability_doorman_luggage_cart	2	AbilityCastRange	20m
ability_doorman_luggage_cart	2	WallImpactDamage	75
ability_doorman_luggage_cart	2	WallImpactDamage	0.6
ability_doorman_luggage_cart	3	AbilityCooldown	-15
ability_doorman_luggage_cart	3	StunDuration	1.25
ability_drifter_hunger	1	BonusMoveSpeed	2m
ability_drifter_hunger	2	HealOnKillPct	18
ability_drifter_hunger	2	StaminaToRestore	2
ability_drifter_hunger	3	AmpDamagePercent	12
ability_explosive_barrel	1	AbilityCooldown	-10
ability_explosive_barrel	2	AbilityCharges	1
ability_explosive_barrel	3	AbilityCooldownBetweenCharge	-5
ability_explosive_barrel	3	BarrelDamage	100
ability_explosive_barrel	3	BarrelDamage	0.5
ability_familiar_ability01	1	ConsumeStaminaOnWake	1
ability_familiar_ability01	1	NoStaminaRegenDuringSleep	1
ability_familiar_ability01	2	Radius	3m
ability_familiar_ability01	2	SleepDuration	0.75
ability_familiar_ability01	3	AbilityCooldown	-65
ability_familiar_ability01	3	DamageResistPctWhileChanneling	50
ability_familiar_ability01	3	UnstoppableWhileChanneling	1
ability_familiar_ability02	1	AbilityCooldown	-7
ability_familiar_ability02	2	FireRateSlow	35
ability_familiar_ability02	2	Radius	2m
ability_familiar_ability02	3	AbilityCharges	1
ability_familiar_ability02	3	Damage	100
ability_familiar_attach	1	AbilityCooldown	-8
ability_familiar_attach	2	BonusBarrierAmpPercent	35
ability_familiar_attach	2	BonusItemDurationPercent	35
ability_familiar_attach	2	BonusItemRangePercent	35
ability_familiar_attach	3	BonusSpiritPower	35
ability_familiar_attach	3	HealingPerSecond	0.34
ability_familiar_attach	3	HopOffEffecDuration	10
ability_familiar_attach	3	MissingHealthBurstPct	0.02
