item	tier	cost	slot	shop_filter	disabled	components
armor_upgrade_t1	1	800	Armor		false	
armor_upgrade_t2	2	1600	Armor		false	
armor_upgrade_t3	3	3200	Armor		false	
armor_upgrade_t4	4	6400	Armor		false	
armor_upgrade_t5	5	9999	Armor		false	
item_projectile_test_01	1	800	WeaponMod	WeaponDamage	true	
item_projectile_test_02	1	800	WeaponMod	WeaponDamage	true	
item_projectile_test_03	1	800	WeaponMod	WeaponDamage	true	
item_projectile_test_04	1	800	WeaponMod	WeaponDamage	true	
item_projectile_test_05	1	800	WeaponMod	WeaponDamage	true	
item_projectile_test_06	1	800	WeaponMod	WeaponDamage	true	
tech_upgrade_t1	1	800	Tech		false	
tech_upgrade_t2	2	1600	Tech		false	
tech_upgrade_t3	3	3200	Tech		false	
tech_upgrade_t4	4	6400	Tech		false	
tech_upgrade_t5	5	9999	Tech		false	
tier1_base	1	800			false	
tier2_base	2	1600			false	
tier3_base	3	3200			false	
tier4_base	4	6400			false	
tier5_base	5	9999			false	
upgrade_ability_power_shard	4	6400	Tech	Movement | EShopFilterMagicDamage	false	
upgrade_ability_refresher	4	6400	Tech		false	
upgrade_absorbing_armor	4	6400	Armor	WeaponDamage | EShopFilterDurability	false	
upgrade_acolytes_glove	1	800	Tech	MagicDamage | EShopFilterMelee	false	
upgrade_active_bullet_shield	4	6400	Armor		true	
upgrade_active_reload	2	1600	WeaponMod	WeaponDamage	false	
upgrade_aerial_assault	4	6400	Armor		true	
upgrade_aerial_supremacy	5	9999	Armor	MagicDamage | EShopFilterMovement | EShopFilterFireRate	true	upgrade_superior_stamina
upgrade_ammo_scavenger	1	800	Tech	WeaponDamage | EShopFilterClipSize	true	
upgrade_ancient_shield	5	9999	Armor	WeaponDamage	true	
upgrade_aoe_root	4	6400	Tech		false	upgrade_containment
upgrade_aoe_silence	3	3200	Tech	MagicDamage | EShopFilterDisruption	true	
upgrade_aoe_smoke_bomb	3	3200	Tech		true	
upgrade_aoe_tech_shield	2	1600	Tech		true	
upgrade_apex_combat	5	9999	WeaponMod	ClipSize	true	upgrade_ricochet
upgrade_aprounds	4	6400	WeaponMod	ClipSize | EShopFilterWeaponDamage	false	upgrade_high_velocity_mag
upgrade_arcane_eater	2	1600	WeaponMod	MagicDamage | EShopFilterFireRate	true	
upgrade_arcane_extension	2	1600	Tech		false	
upgrade_arcane_medallion	3	3200	Tech		true	
upgrade_arcane_surge	2	1600	Tech	MagicDamage | EShopFilterFireRate | EShopFilterClipSize | EShopFilterMovement | EShopFilterDurability	false	upgrade_improved_stamina
upgrade_arctic_blast	4	6400	Tech	MagicDamage | EShopFilterDisruption | EShopFilterDurability	false	upgrade_cold_front
upgrade_attack_speed_1	2	1600	WeaponMod		true	
upgrade_attack_speed_2	3	3200	WeaponMod		true	
upgrade_auto_cleanse	4	6400	Armor	Durability	false	upgrade_vex_barrier
upgrade_banshee_slugs	4	6400	WeaponMod	WeaponDamage | EShopFilterDisruption	false	upgrade_headshot_booster2
upgrade_belt_fed_magazine	4	6400	WeaponMod	FireRate | EShopFilterClipSize	true	
upgrade_berserker	3	3200	WeaponMod	WeaponDamage | EShopFilterClipSize | EShopFilterDurability	false	
upgrade_blitz_bullets	2	1600	WeaponMod	FireRate	false	upgrade_rapid_rounds
upgrade_blood_tribute	3	3200	WeaponMod	WeaponDamage	false	
upgrade_bonus_ability_charge_3	3	3200	Tech		true	
upgrade_boundless_spirit	4	6400	Tech	MagicDamage | EShopFilterMovement | EShopFilterHealing	false	upgrade_soaring_spirit
upgrade_boxing_glove	3	3200	Armor	Durability | EShopFilterMelee | EShopFilterHealing	false	upgrade_lifestrike_gauntlets
upgrade_bullet_armor	2	1600	Armor	WeaponDamage | EShopFilterDurability	true	
upgrade_bullet_armor_reduction_aura	3	3200	WeaponMod	WeaponDamage | EShopFilterDisruption | EShopFilterClipSize	false	
upgrade_bullet_damage_reduction_aura	2	1600	Armor		true	
upgrade_bullet_resist_shredder	2	1600	Tech	WeaponDamage | EShopFilterDurability	false	
