hero	EAbilityResourceMax	EAbilityResourceRegenPerSecond	EAirDashDistanceInMeters	EAirDashDuration	EBaseHealthRegen	EBuildUpRate	EBulletLifesteal	ECritDamageBonusScale	ECritDamageReceivedScale	ECrouchSpeed	EDebuffResist	EGroundDashDistanceInMeters	EGroundDashDuration	EHeavyMeleeDamage	EHeroBulletLifestealEffectiveness	EHeroSpiritLifestealEffectiveness	ELightMeleeDamage	EMaxHealth	EMaxMoveSpeed	EMeleeResist	EMoveAcceleration	EProcBuildUpRateScale	EReloadSpeed	ESprintSpeed	EStamina	EStaminaRegenPerSecond	ETechArmorDamageReduction	ETechDuration	ETechRange	EWeaponPower	EWeaponPowerScale
hero_airheart	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	680.0	6.8		4	1	1	1.6	3.0	0.222222		1	1	0	1
hero_astro	0	0	8.0	0.43	2.0			1.0	1.0	4.75		10.0	0.62	116	1.0	1.0	50	780.0	8.2		4	1	1	1.6	2	0.222222		1	1	0	1
hero_atlas	0	0	8.0	0.49	1.5			1.0	1.0	4.75		10.0	0.7	116	1.0	1.0	50	800.0	6.4		4	1	1	1.6	3	0.222222		1	1	0	1
hero_base	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_bebop	0	0	8.0	0.49	2.5			1.0	1.0	4.75		10.0	0.7	116	1.0	1.0	63	880.0	6.45		4	1	1	4.0	3	0.181818		1	1	0	1
hero_boho	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	705.0	8.0		4	1	1	1.6	3	0.222222		1	1	0	1
hero_bomber	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_bookworm	0	0	8.0	0.49	2.0			1.0	1.0	4.75		10.0	0.7	120.0	1.0	1.0	42.0	680.0	6.9		4	1	1	3.5	3	0.222222		1	1	0	1
hero_cadence	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	830.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_chrono	0	0	8.0	0.43	1.0			1.0	1.0	4.75		10.0	0.62	116	1.0	1.0	50	730.0	6.7		4	1	1	1.6	3	0.222222		1	1	0	1
hero_doorman	0	0	8.0	0.43	1.0			0.75	1.0	4.75		10.0	0.62	116	1.0	1.0	50	755.0	7.9		4	1	1	1.6	3	0.222222		1	1	0	1
hero_drifter	0	0	8.0	0.47	3.5			0.55	1.0	4.75		10.0	0.68	120	1.0	1.0	51.5	755.0	6.9		4	1	1	1.6	3	0.222222		1	1	0	1
hero_druid	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_dynamo	0	0	8.0	0.49	1.75			1.0	1.0	4.75		10.0	0.7	116	1.0	1.0	50	880.0	6.7		4	1	1	1.6	3	0.222222		1	1	0	1
hero_familiar	0	0	8.0	0.49	2.0			0.8	0.9	4.75		10.0	0.68	116	1.0	1.0	58	680.0	7.2	-5.0	4	1	1	4.0	3.0	0.222222		1	1	0	1
hero_fencer	0	0	8.0	0.47	1.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	63	770.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_forge	0	0	8.0	0.47	2			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	6.7		4	1	1	1.6	2	0.222222		1	1	0	1
hero_fortuna	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	680.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_frank	0	0	8.0	0.49	1.5			1.0	1.0	4.75		10.0	0.7	116	1.0	1.0	50	800.0	6.3		4	1	1	1.1	3	0.222222	0.0	1	1	0	1
hero_genericperson	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_ghost	0	0	8.0	0.49	1.0			1.0	1.0	4.75		10.0	0.7	116	1.0	1.0	50	880.0	6.3		4	1	1	2.4	3	0.222222		1	1	0	1
hero_gigawatt	0	0	8.0	0.47	1.0			1.0	0.45	4.75		10.0	0.68	116	1.0	1.0	50	730.0	6.7		4	1	1	1.8	3	0.222222		1	1	0	1
hero_graf	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	510.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_gunslinger	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_haze	0	0	8.0	0.43	2.0			1.0	1.0	4.75		10.0	0.62	116	1.0	1.0	50	730.0	8.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_hornet	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	755.0	7.9		4	1	1	1.6	2	0.222222		1	1	0	1
hero_inferno	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	830.0	6.7		4	1	1	1.6	3	0.222222		1	1	0	1
hero_kali	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_kelvin	0	0	8.0	0.49	1.0			0.75	1.0	4.75		10.0	0.7	116	1.0	1.0	50	880.0	6.7		4	1	1	1.1	3	0.18181		1	1	0	1
hero_krill	0	0	8.0	0.49	1.0			1.0	0.8	4.75		10.0	0.7	116	1.0	1.0	50	930.0	8.0		4	1	1	1.6	3	0.222222		1	1	0	1
hero_lash	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	2.1	3	0.222222	10.0	1	1	0	1
hero_magician	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	730.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_mirage	0	0	8.0	0.47	1.5			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	730.0	7.0		4	1	1	1.6	3	0.222222		1	1	0	1
hero_nano	0	0	8.0	0.43	2.0			1.0	1.0	4.75		10.0	0.62	116	1.0	1.0	63	730.0	6.8		4	1	1	1.6	3	0.222222		1	1	0	1
hero_necro	0	0	8.0	0.47	1.0	-50.0	8.0	1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	730.0	7.0		4	1	1	2.2	2.0	0.222222		1	1	0	1
hero_opera	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_operative	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_orion	0	0	8.0	0.43	1.5			1.0	1.0	4.75		10.0	0.62	116	1.0	1.0	50	780.0	6.3		4	1	1	1.6	4	0.222222		1	1	0	1
hero_priest	0	0	8.0	0.49	2.0			1.0	1.0	4.75		10.0	0.7	125.0	1.0	1.0	50	820.0	6.4		4	1	1	1.5	3	0.222222		1	1	0	1
hero_punkgoat	0	0	8.0	0.47	2.5			0.8	1.0	4.75		10.0	0.68	116	1.0	1.0	50	820.0	7.0		4	1	1	1.6	3	0.222222		1	1	0	1
hero_rutger	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_shieldguy	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_shiv	0	0	8.0	0.49	2.0			1.0	1.0	4.75		10.0	0.7	116	1.0	1.0	50	830.0	6.5		4	1	1	1.6	3	0.18181		1	1	0	1
hero_skyrunner	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	2.5	3	0.222222	10.0	1	1	0	1
hero_slork	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_swan	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	780.0	6.8		4	1	1	1.6	3	0.222222		1	1	0	1
hero_synth	0	0	8.0	0.47	1.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	60	780.0	7.2		4	1	1	1.6	3	0.222222	-15.0	1	1	0	1
hero_targetdummy	0	0	8.0	0.47	2.0			1.0	1.0	4.75		10.0	0.68	116	1.0	1.0	50	2990.0	7.2		4	1	1	1.6	3	0.222222		1	1	0	1
hero_tengu	0	0	8.0	0.43	2.0			1.0	1.0	4.75		10.0	0.62	116	1.0	1.0	50	755.0	7.2		4	1	1	1.6	4	0.222222		1	1	0	1
hero_testhero	0	0	8.0	0.43	2.0			1.0	1.0	4.75		10.0	0.62	116	1.0	1.0	63	730.0	6.8		4	1	1	1.6	3	0.222222		1	1	0	1
