item	property	stat	value
upgrade_ability_power_shard	BonusFireRate	FIRE_RATE	5
upgrade_ability_power_shard	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	5
upgrade_ability_power_shard	TechResist	TECH_RESIST	5
upgrade_ability_refresher	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	15
upgrade_ability_refresher	TechResist	TECH_RESIST	14
upgrade_absorbing_armor	CooldownReduction	COOLDOWN_REDUCTION_PERCENTAGE	7
upgrade_absorbing_armor	TechPower	TECH_POWER	14
upgrade_absorbing_armor	TechResist	TECH_RESIST	22
upgrade_acolytes_glove	TechArmorDamageReduction	TECH_RESIST_REDUCTION	-6
upgrade_active_bullet_shield	BonusSprintSpeed	SPRINT_SPEED_BONUS	5m
upgrade_active_reload	BonusClipSizePercent	AMMO_CLIP_SIZE_PERCENT	20
upgrade_active_reload	BonusFireRate	FIRE_RATE	25
upgrade_active_reload	BonusMoveSpeed	MOVEMENT_SPEED_MAX	0.75m
upgrade_active_reload	BulletLifestealPercent	BULLET_LIFESTEAL	16
upgrade_aerial_assault	AssaultFireRate	FIRE_RATE	60
upgrade_aerial_assault	AssaultLifestealPercent	BULLET_LIFESTEAL	20
upgrade_aerial_assault	BonusFireRate	FIRE_RATE	15
upgrade_aerial_assault	BulletLifestealPercent	BULLET_LIFESTEAL	25
upgrade_aerial_supremacy	AirMoveIncreasePercent	AIR_MOVE_DISTANCE_INCREASE_PERCENT	70
upgrade_aerial_supremacy	Stamina	STAMINA	7
upgrade_aerial_supremacy	StaminaCooldownReduction	STAMINA_REGEN_PER_SECOND_PERCENTAGE	40
upgrade_ammo_scavenger	SpiritPowerPerSoul	TECH_POWER	1
upgrade_ancient_shield	BulletResist	BULLET_ARMOR_DAMAGE_RESIST	40
upgrade_ancient_shield	DegenResistance	HEAL_DEGEN_RESISTANCE	40
upgrade_ancient_shield	OutOfCombatHealthRegen	OUT_OF_COMBAT_HEALTH_REGEN	40
upgrade_ancient_shield	StatusResistancePercent	STATUS_RESISTANCE	40
upgrade_ancient_shield	TechResist	TECH_RESIST	40
