level	souls	delta	ability	AP
00	00600	0000	1	00
01	00900	0300	1	01
02	01200	0300	2	01
03	01500	0300	2	02
04	02100	0600	3	02
05	02800	0700	3	03
06	03600	0800	4	03
07	04400	0800	4	04
08	05200	0800	4	05
09	06000	0800	4	06
10	06800	0800	4	07
11	07700	0900	4	08
12	08600	0900	4	09
13	09600	1000	4	10
14	10600	1000	4	11
15	11600	1000	4	12
16	12600	1000	4	13
17	13800	1200	4	14
18	15100	1300	4	15
19	16600	1500	4	16
20	18100	1500	4	17
21	19600	1500	4	18
22	21100	1500	4	19
23	22600	1500	4	20
24	24100	1500	4	21
25	25600	1500	4	22
26	27100	1500	4	23
27	28600	1500	4	24
28	30100	1500	4	25
29	31600	1500	4	26
30	33100	1500	4	27
31	34600	1500	4	28
32	36100	1500	4	29
33	37600	1500	4	30
34	39100	1500	4	31
35	40600	1500	4	32
