hero	weapon	damage	bullets	clip	cycle	reload	range	dps
hero_astro	citadel_weapon_astro_set	19.7	1	10	0.4725	2.75	7000	41.7
hero_atlas	citadel_weapon_bull_set	3.6	9	9	0.63	0.3525	7000	51.4
hero_bebop	citadel_weapon_bebop_set	4.98	1	66	0.084	2.35	1259.84	59.3
hero_bookworm	citadel_weapon_bookworm_set2	35	1	14	0.5	2.5	7000	70.0
hero_chrono	citadel_weapon_chrono_set	6.8	1	40	0.294	2.585	7000	23.1
hero_doorman	citadel_weapon_doorman_set	29.26	1	8	0.63	2.4	7000	46.4
hero_drifter	citadel_weapon_drifter_set	19.5	3	12	0.441	2.444	7000	132.7
hero_dynamo	citadel_weapon_sumo_set	12.6	1	20	0.2625	2.35	7000	48.0
hero_familiar	ability_familiar_primary_weapon_bubblegun	16	1	13	0.26	2	3000	61.5
hero_fencer	citadel_weapon_fencer_set	18.5	1	15	0.38	2.5	1000	48.7
hero_forge	citadel_weapon_engineer_set	6.4	1	66	0.21	3.29	7000	30.5
hero_frank	citadel_weapon_frank_set2	12	1	24	0.198	2.4	7000	60.6
hero_genericperson	citadel_weapon_genericperson_set	11.6	1	15	0.2	2	7000	58.0
hero_ghost	citadel_weapon_ghost_set	20.7	1	9	0.4725	2.585	7000	43.8
hero_gigawatt	citadel_weapon_gigawatt_set	10.8	1	29	0.2625	2.35	7000	41.1
hero_haze	citadel_weapon_haze_set	5.26	1	25	0.105	2.35	7000	50.1
hero_hornet	citadel_weapon_hornet_set	12.33	1	19	0.231	2.914	7000	53.4
hero_inferno	citadel_weapon_inferno_set	5.5	1	27	0.105	2.25	7000	52.4
hero_kelvin	citadel_weapon_kelvin_set	18.6	1	14	0.2625	2.585	7000	70.9
hero_krill	citadel_weapon_digger_set	2.82	4	20	0.189	2.82	7000	59.7
hero_lash	citadel_weapon_lash_set	8.46	1	29	0.2625	2.35	7000	32.2
hero_magician	citadel_weapon_magician_set	17.76	1	16	0.525	2.5	7000	33.8
hero_mirage	citadel_weapon_mirage_set	14.8	1	16	0.3675	2.6	7000	40.3
hero_nano	citadel_weapon_nano_set	1.84	9	12	0.21	2.6	7000	78.9
hero_necro	citadel_weapon_necro_set	3.6	1	40	0.102	2.8	7000	35.3
hero_orion	citadel_weapon_archer_set	23.51	1	17	0.6	2.35	7000	39.2
hero_priest	citadel_weapon_priest_set	8	1	33	0.126	2.8	7000	63.5
hero_punkgoat	citadel_weapon_punkgoat_set	6.3	1	30	0.085	2.9	7000	74.1
hero_shiv	citadel_weapon_shiv_set	4.8	6	10	0.55125	2.8	7000	52.2
hero_synth	citadel_weapon_synth_set	4.28	7	11	0.525	2.82	7000	57.1
hero_targetdummy	citadel_weapon_targetdummy_set	11.6	1	15	0.2	2	7000	58.0
hero_tengu	citadel_weapon_tengu_set	4.45	1	33	0.0735	2.444	7000	60.5
hero_unicorn	citadel_weapon_unicorn_set	18	1	8	0.58	2	7000	31.0
hero_vampirebat	citadel_weapon_vampirebat_set	7.31	1	12	0.252	1.7	7000	29.0
hero_viper	citadel_weapon_viper_set	6.58	1	24	0.07	1.6	7000	94.0
hero_viscous	citadel_weapon_viscous_set	10.34	1	20	0.21	2.5	7000	49.2
hero_warden	citadel_weapon_warden_set	17.34	1	17	0.2625	2.914	7000	66.1
hero_werewolf	citadel_weapon_werewolf_rifle	5.1	7	7	0.85	0.3	7000	42.0
hero_wraith	citadel_weapon_wraith_set	5.64	1	52	0.0945	2.82	7000	59.7
hero_yamato	citadel_weapon_yamato_set	5.31	5	12	0.42	2.444	7000	63.2
